,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_in_seconds,laptime_sum_sectortimes
55,0 days 01:05:35.757000,BOR,5,,14.0,4.0,0 days 01:03:41.062000,,82.523,20.276,48.792,0 days 01:04:26.849000,0 days 01:04:47.208000,0 days 01:05:35.851000,244.0,295.0,298.0,73.0,False,SOFT,1.0,True,Kick Sauber,0 days 01:03:41.062000,2025-03-14 02:19:09.071,1,,False,,False,False,,151.591
56,0 days 01:06:54.195000,BOR,5,0 days 00:01:18.438000,15.0,4.0,,,27.076,17.883,33.479,0 days 01:06:02.833000,0 days 01:06:20.716000,0 days 01:06:54.195000,279.0,315.0,297.0,317.0,True,SOFT,2.0,True,Kick Sauber,0 days 01:05:35.757000,2025-03-14 02:21:03.766,1,,False,,False,True,78.438,78.438
57,0 days 01:09:00.205000,BOR,5,0 days 00:02:06.010000,16.0,4.0,,,37.469,31.255,57.286,0 days 01:07:31.664000,0 days 01:08:02.919000,0 days 01:09:00.205000,192.0,146.0,216.0,282.0,False,SOFT,3.0,True,Kick Sauber,0 days 01:06:54.195000,2025-03-14 02:22:22.204,1,,False,,False,True,126.01,126.01
58,0 days 01:11:13.405000,BOR,5,0 days 00:02:13.200000,17.0,4.0,,,46.792,29.17,57.238,0 days 01:09:46.997000,0 days 01:10:16.167000,0 days 01:11:13.405000,183.0,117.0,297.0,173.0,False,SOFT,4.0,True,Kick Sauber,0 days 01:09:00.205000,2025-03-14 02:24:28.214,1,,False,,False,True,133.2,133.2
59,0 days 01:13:02.132000,BOR,5,0 days 00:01:48.727000,18.0,4.0,,,27.445,20.977,60.305,0 days 01:11:40.850000,0 days 01:12:01.827000,0 days 01:13:02.132000,278.0,151.0,297.0,314.0,False,SOFT,5.0,True,Kick Sauber,0 days 01:11:13.405000,2025-03-14 02:26:41.414,1,,False,,False,True,108.727,108.727
60,0 days 01:14:23.523000,BOR,5,0 days 00:01:21.391000,19.0,4.0,,,28.331,18.157,34.903,0 days 01:13:30.463000,0 days 01:13:48.620000,0 days 01:14:23.523000,270.0,313.0,302.0,316.0,False,SOFT,6.0,True,Kick Sauber,0 days 01:13:02.132000,2025-03-14 02:28:30.141,12,,False,,False,True,81.391,81.39099999999999
61,0 days 01:15:48.399000,BOR,5,0 days 00:01:24.876000,20.0,4.0,,,29.503,19.105,36.268,0 days 01:14:53.026000,0 days 01:15:12.131000,0 days 01:15:48.399000,261.0,281.0,285.0,310.0,False,SOFT,7.0,True,Kick Sauber,0 days 01:14:23.523000,2025-03-14 02:29:51.532,1,,False,,False,True,84.876,84.876
62,0 days 01:18:30.601000,BOR,5,,21.0,4.0,,,41.228,29.283,91.586,0 days 01:16:29.832000,0 days 01:16:59.142000,0 days 01:18:30.601000,175.0,181.0,181.0,246.0,False,SOFT,8.0,True,Kick Sauber,0 days 01:15:48.399000,2025-03-14 02:31:16.408,1,,False,,False,False,,162.09699999999998
63,0 days 01:20:27.230000,BOR,5,,22.0,4.0,,0 days 01:20:27.230000,39.811,28.038,,0 days 01:19:10.418000,0 days 01:19:38.556000,,182.0,181.0,,268.0,False,SOFT,9.0,True,Kick Sauber,0 days 01:18:30.601000,2025-03-14 02:33:58.610,1,,False,,False,False,,
64,0 days 00:16:38.679000,HAD,6,0 days 00:01:54.270000,1.0,1.0,0 days 00:14:46.405000,,44.001,22.817,47.452,0 days 00:15:28.539000,0 days 00:15:51.407000,0 days 00:16:38.797000,208.0,269.0,293.0,176.0,False,MEDIUM,1.0,True,Racing Bulls,0 days 00:14:46.405000,2025-03-14 01:30:14.414,1,,False,,False,False,114.27,114.27
